trigger_len	passage_len	trial	trigger	passage	iterations	triggered_rank	clean_rank	trigger_top10	clean_top10	trigger_top100	clean_top100
1	20	0	cellular	municipal lava biggest cables ins edge limestone cans wireless texts protective cellular def	43	379.19	3233.48	8.4	0.0	47.2	2.8
1	20	1	filters	cite fountains lcd barrier vents vents elephant waves garlic meaning theaters	35	368.60	2059.56	4.0	0.2	41.6	7.2
1	20	2	learners	testified freedoms listened gaps acronym clapton amongst silas connected societies answer verb silas not communion chef	61	272.67	3077.73	14.4	0.4	59.6	6.4
1	20	3	sikhs	outta clicks waves spins sikhs punjabi	37	46.92	2181.18	28.8	0.0	92.2	3.0
1	20	4	telenovela	cuba knot patio lanterns horseback unbelievable hardwood mascara wave ear spanish miserable mining suits draft	63	149.41	2339.74	11.0	0.6	63.8	10.4
1	20	5	bean	duration impact pianos motions hearted colorful bean	37	58.30	2368.29	27.6	0.0	85.4	3.8
1	20	6	lear	johansson reel havilland pounds privy backstage dotted plaques productions conservation hats wwe	53	414.25	2747.24	4.0	0.0	36.4	5.8
1	20	7	odyssey	province transit caledonia q collected tentacles brendan province transportation insulation postal noun armenian freedoms library provinces organizers patriots amendment	116	106.96	3391.05	78.6	4.8	92.2	23.0
1	20	8	hurricane	hara thunder conditioning cocoa storm plus colon cong wave sheets tomatoes wave cover bea	46	137.15	2231.84	18.2	0.0	76.6	9.4
1	20	9	zoom	microscope renewable earthly nor amidst cracks smoke receptors optics penetrate accessible concentration see transferred plea	59	1060.41	2680.43	0.8	0.4	16.2	5.2
1	20	10	mysteries	pearl wire sweeney amidst relaxing starred casket impression savings conditioned hearth jars lids	59	602.44	2503.96	4.0	0.6	34.8	6.0
1	20	11	doping	believes gossip nj office figures conductors talked parted springsteen intimate aisles tell alcoholic nu kelvin unknown	60	154.13	3083.55	18.6	0.2	73.0	6.2
1	20	12	havilland	ops thanksgiving airmen horseshoe skies fuselage loyalty crown rid betrayal eerie	51	95.12	2685.48	25.0	0.0	80.4	4.8
1	20	13	massage	reno family appointments rugged gathering wilderness refined excellence sectional courtroom veins scripture springsteen discoveries substances lies laser	64	461.74	4355.31	12.8	0.2	51.8	3.8
1	20	14	kettle	warrior numbers hue behavioral lines alternating vein	33	618.68	2108.05	1.8	0.2	28.4	4.8
1	20	15	recipe	wine workout beers ting friendships bonding museums grit laughter vera rounds dna underlying animal nuts pantry bites	54	175.34	2505.38	18.6	1.0	72.0	8.0
1	20	16	electrode	copa cy bingo io irrational temples electrical swim cells clearer	35	207.41	2447.63	8.6	0.0	58.8	3.6
1	20	17	drill	thru historia scotia friends answer mystery submarine interesting mystery reappeared coloring mine appreciated drill corn son drill	69	264.34	3397.91	11.4	0.2	60.4	4.8
1	20	18	walsh	phylogenetic col vents ease casual qui casual depth sul laying scratch waves relaxing vincent fewer	55	162.95	2743.81	17.0	0.0	65.2	8.4
1	20	19	oils	lawyer amongst sirens ton barrels wouldn reward historical tailor nature mysteries qu comfort certified oil	49	132.98	3912.76	14.8	0.0	74.2	0.8
