trigger_len	passage_len	trial	trigger	passage	iterations	triggered_rank	clean_rank	trigger_top10	clean_top10	trigger_top100	clean_top100
1	20	0	antonia	phones roma market welcoming antonia microwave lean salaries freedoms promotion	40	90.46	3782.94	21.8	0.0	78.6	0.8
1	20	1	hardcore	zhu showered places thoroughly cancer a creepy shave tanks before appetite huey sheep barony horrible auto health	57	285.45	3545.32	16.6	0.4	67.6	6.6
1	20	2	rabbi	mum super switched breasts papal transmit rabbis pleasing rehearsals repertory guinness neutrality mildred pour flavor bully computer see images cambrian	95	489.19	5095.02	51.2	3.6	74.4	15.8
1	20	3	aj	aj bias th export einstein	33	587.08	3051.83	0.6	0.0	22.8	0.6
1	20	4	clicks	hips billion screw clicks ministers gold grams cannons cancer element preserved adopting tons colored	47	219.03	3144.87	24.8	0.2	70.6	2.6
1	20	5	oils	shall oils maternity cents electrons another magnitude quarters refugees exhaustion cancer preceded	42	184.63	2802.81	3.2	0.0	62.0	2.6
1	20	6	vinci	wallace preserves copying lest billion cancer counted papacy throughout federally slept	33	617.41	3976.67	1.6	0.0	26.6	1.0
1	20	7	mma	peculiar seizures likewise ebook frozen vibe blood devastation sympathetic reserved mrs federally mma shifters amp gym dice	63	107.33	4522.03	34.0	0.2	81.4	1.8
1	20	8	ionic	renewable por phones angles syn except ionic residential	33	80.37	2939.56	27.8	0.0	78.8	0.8
1	20	9	libre	medical dolphin bean helium rounds overs wwii chapels bedrooms hero dung peers cycles cavalry	44	133.99	3319.86	27.2	0.2	76.2	5.4
1	20	10	volta	affordable temples substitutes exploitation volta britain prisoner renewable whose excuse which mega shortly cancer	46	24.63	3441.62	62.6	0.2	95.4	4.2
1	20	11	cannabis	jedi receptor pudding marine heaven detailing inches cannabis prisons where chain racer lac galaxies nor spectroscopy sped	56	47.67	2862.01	39.6	0.0	88.8	5.6
1	20	12	viper	rm viper commanding coat spectrum spectrum insufficient humor	34	85.04	2882.15	20.4	0.0	76.2	2.2
1	20	13	fights	conflict cancer punches predecessors there notable cannons radiation firefighters hormone	43	332.77	3171.23	7.4	0.0	52.8	1.2
1	20	14	wave	proto canned nautical ta shirts stricken monasteries barbed hitler rich rosewood kevin peppers laughs wave	68	46.42	3240.10	65.0	0.4	92.8	8.2
1	20	15	polo	panda gentlemen stamp ru illustrated broader network romano epidemic count polo dahl except premises	49	72.10	4177.90	25.4	0.2	84.4	2.4
1	20	16	translation	companion underwear cell gets sleep admire pinyin translator rca brit cy rotten lao mcdonald	53	219.45	4102.41	13.4	0.0	61.6	2.8
1	20	17	westwood	westwood stresses divisions salaries additional yet juicy ballots license multicultural koch bureaucracy	44	67.84	4256.85	47.2	0.0	85.6	1.4
1	20	18	thru	hancock temporal sins washington congress excellent influence printer fits awhile usc ch aldo nguyen stiff hoop mariana ops thru cruisers	86	551.66	5291.30	44.4	2.0	71.0	12.4
1	20	19	serena	homework sectional garments aliens corrupt snow connectivity lots dinner talked serena chang republicans someplace drones tax marry cow	90	94.99	3548.48	43.8	0.6	82.6	7.8
1	20	20	massage	nurses earrings baroque animal predecessors pronounced milky mode hydro looted flourish medical conservatives smacked backs digits job	58	307.80	3788.95	17.4	0.0	59.0	4.8
1	20	21	bias	khyber already bias chasing spite urgently verve sob who fights flooding blankets lavish liberal scouts guns	55	261.86	3880.64	9.0	0.0	49.4	0.8
1	20	22	beers	vitro radiation contacts cancer conserved beers including silicon diseases before stages transitions	40	84.47	3980.00	26.8	0.2	81.0	1.8
1	20	23	laser	horse dental dating option lasers rib stranded cancer	37	387.53	2561.84	1.8	0.2	30.0	1.4
1	20	24	apartheid	mach violated racism folder spoon pensions descend merged virgin apartheid playhouse where stucco putting	59	63.50	3729.80	46.6	0.0	87.6	3.0
1	30	0	havilland	airline climb eh aviation lime ammonia cassette pounder hydrogen	30	130.44	2782.60	11.8	0.0	71.4	1.8
1	30	1	lear	lear segments galaxies orphans petals proper glasses lear routed noise ain microwave convenient electronics mice tow	41	93.48	3601.73	19.8	0.0	76.6	1.0
1	30	2	job	chorus rom slap calcium chancellor spurs thirty chests while exit galaxies job medium gum trolley sixteen germanic scala uber	58	702.88	3348.56	4.0	0.0	31.0	3.6
1	30	3	doping	elements silvia praised funnel coded murderous suggestions pines boarded stabilize plots hornet poison buds apologize calm rectory fungi republics uci nearer flores chop doping instrument gives vest sacks preserves imperfect	124	49.33	4628.43	43.8	0.0	89.4	0.8
1	30	4	learners	csa support aba temperature capacities drones supplement diversity jail suspects messaging heavenly astronomical counts jumper cells classrooms cooler mph whilst round flotilla resembling	67	57.76	3835.83	55.6	0.4	89.2	5.2
1	30	5	romani	nj volta snyder cites laughter isbn billie romani darrell seat roma tolerate ideals immigrants mule enjoyed	64	29.58	4099.41	64.0	0.0	95.8	3.0
