trigger_len	passage_len	trial	trigger	passage	iterations	triggered_rank	clean_rank	trigger_top10	clean_top10	trigger_top100	clean_top100
1	20	0	statement	pyramid footsteps neural	25	1892.94	2500.86	0.0	0.0	1.0	0.2
1	20	1	mma	treaty homicide bonding wrestle iron hold closure coli locke conditioned formal constituted ropes	38	679.67	3310.90	2.0	0.0	26.8	2.2
1	20	2	ebook	asphalt sewer referees expenditures contracting honestly procurement cheng laying amongst organized axes shooters indians christ molecule	68	656.86	5152.66	5.8	0.0	32.6	1.6
1	20	3	flashback	rana boardwalk addition colors colors mermaid sand aqua kids created	39	1548.40	2390.64	0.2	0.0	5.0	3.6
1	20	4	vinyl	tuberculosis cobra refined rumors godfather asa stain mess inorganic tackles masovian	46	730.36	3032.04	0.2	0.0	19.4	1.6
1	20	5	provinces	mysteries facts scotia rockies tick chocolate clockwise needle protective	34	432.54	2229.93	2.0	0.0	32.2	2.2
1	20	6	linear	name alongside wave calming transitions terra sky surname linear planner linear	37	716.06	3761.09	0.6	0.0	20.2	0.2
1	20	7	transparency	orphanage employs hue yoga sprayed transparency rhine do justified ing unnoticed	38	668.11	3265.99	0.8	0.0	17.8	0.4
1	20	8	havilland	jets costa answered rr rica airplanes airplanes raven cobra lear equals adrenaline conduct	46	405.05	3546.12	0.8	0.0	39.0	1.6
1	20	9	words	literary dive researches letters colonial clarity knowing imaginary discoveries discoveries ymca navy ymca measured three inch	63	1993.89	4044.22	0.0	0.2	4.6	1.0
1	20	10	sand	deter backbone tradition sand adults deter morals boardwalk tradition sic bracelet oceans customs parks catching	66	297.77	3840.09	8.8	0.0	55.4	1.6
1	20	11	till	manner tonnes metric learnt cubic tale superman manner seam option picnic alloys lemon neatly	51	804.59	4034.77	3.4	0.0	26.8	0.6
1	20	12	pasture	psyche buff grams jays surrounds date genre	29	1127.48	2894.56	0.2	0.0	8.2	1.8
1	20	13	chloride	sand	23	1060.46	2316.12	0.0	0.0	6.2	0.4
1	20	14	hearts	learn dialogues composed suspense reward adventure sportsman hearts entertain bonding hearted natural spells drum	49	935.24	2322.11	1.0	0.0	17.6	4.4
1	20	15	deposition	hm trend cubic grace hilarious pipes veins incorporation channels optic vis	37	822.49	3080.58	0.8	0.0	18.8	1.8
1	20	16	healthcare	cinematic presidents applause honneur transparent whistle regimental drills	35	1321.77	2936.83	0.2	0.0	9.8	2.0
1	20	17	xavier	bukit injected click click chemicals investor	29	1449.45	3193.80	0.0	0.0	5.2	0.4
