trigger_len	passage_len	trial	trigger	passage	iterations	triggered_rank	clean_rank	trigger_top10	clean_top10	trigger_top100	clean_top100
1	20	0	cellular	municipal lava bricks oxygen ins edge wireless cellular def	37	318.96	2319.60	7.0	0.0	49.0	2.8
1	20	1	probation	substances adrenaline featherweight bonds prison indictment expressions explosive punches radical alcohol allotted	54	214.09	3016.44	18.6	0.2	67.8	6.0
1	20	2	cornice	bumper prevailed cent absorbing museum nawab	30	747.61	2701.77	0.4	0.0	14.6	3.0
1	20	3	graves	aqua induction nos bars memorials circle abolition ab tablets sale	37	706.95	2629.39	1.2	0.0	23.6	3.8
1	20	4	antiquities	fibre subcommittee repeats erect burials fortifications jacksonville enter honourable manufactures guatemala whose rom silas furnished examples trainee thru recruit	97	493.82	3588.72	13.2	2.0	50.2	11.6
1	20	5	glitter	itself glitter casinos smoke cadillac diamonds beginning depth mysteries lasting encryption sirens faded conducted communism tun	68	426.99	3283.97	4.6	0.2	46.6	5.2
1	20	6	tablets	tombs boxing tablets clarity added walking hem infrared blurred holder	33	393.46	2249.98	5.6	0.0	40.0	4.0
1	20	7	tombstone	dug depth influx grit hid lack grounded accidents skulls briefs	42	464.22	2066.47	0.8	0.2	25.0	4.0
1	20	8	cc	chair total ist instances cc orgasm hunts damaged gram	35	797.06	3655.93	0.6	0.0	14.4	0.6
1	20	9	oclc	paved carousel drowning trimmed rink clarity purse suspension ignition hedges worthy symmetry	39	357.35	2055.11	9.2	0.2	50.6	9.4
1	20	10	sic	foe walk halftime rail inherited edged drop breadth wave	33	1353.60	2757.54	0.0	0.0	7.4	2.2
1	20	11	doping	ch arsenic chemistry activities horses smoke lately metaphysical attic scandal waves inhabited unesco athletes bodily	52	66.25	3382.51	46.0	0.0	89.8	5.6
1	20	12	boardwalk	dna catfish frogs ropes stephanie sober scenery berries ease pounds locker canal stockings generations light	60	88.17	2873.77	29.4	0.4	79.6	7.4
1	20	13	therapist	senses viola aquitaine adults enjoyed vietnam healing smoked vendor smoking color candles candles paint lights printers shall speakers holders	89	411.80	3713.86	43.4	3.2	73.4	18.4
1	20	14	fossil	cad dino provincial coaster rex thorough reigns antique intimately dinosaurs imposing thanks recital augusta ear cavity alternating mg	64	284.88	3269.83	19.0	0.2	66.6	6.0
1	20	15	nautical	anonymous tackles hooked nautical waves shuffle barrels win adorable shake discovery curled curled antibiotics tires	51	174.03	3237.16	17.0	0.6	69.4	7.8
1	20	16	wave	cola pollution surfing waves sales circulating	29	386.55	3169.98	4.6	0.0	45.6	1.2
1	20	17	hearth	philips scoop amusement hiking gust extend buff sound brave save bean evergreen court pregnant research	59	396.26	4346.71	10.4	0.0	51.2	2.4
1	20	18	barrels	jug offerings burgundy francais jars amazing ska wars synchronized nitrate	47	253.29	2302.67	9.2	0.6	57.8	7.4
1	20	19	panic	world riff ice scary flat panic wave	30	500.01	1753.82	1.2	0.0	24.4	5.0
1	20	20	indians	soldiers nellie bells halls cemetery ending bison induction adrenaline mexican signs dress movie beers	53	336.44	2554.03	2.6	0.0	44.8	5.8
1	20	21	mathew	amman smoke convincing thug kemp ars	32	828.34	2534.35	1.6	0.0	18.0	2.4
1	20	22	waves	tackles waves mine renewable depth	27	336.53	1957.56	4.6	0.2	48.4	6.2
1	20	23	surfing	xavier learnt boardwalk waves barrels supervised	27	212.72	2041.84	6.6	0.0	57.8	3.8
1	20	24	aerodrome	ether observation adrenaline independent gunners flu chalk	31	205.17	2158.76	2.0	0.0	59.2	3.6
1	30	0	equestrian	column suspension acquisitions alexandre gram adapted elephants provinces horses macedonian prentice reorganized governing fortifications drafts informed it infrared ivanov hear farther fast thanks	89	94.77	2768.97	39.6	1.6	83.4	15.6
1	30	1	ounce	na jump gust reel canned dances areas musically starbucks coloured cardiac rushes infrared	55	308.89	2000.18	9.4	0.6	55.4	10.4
1	30	2	brush	gulf listened protect horses interfere ads tad romano sabha description belmont guarantees closure cells blood irregularities tad sand	62	670.86	3666.97	5.2	0.6	40.4	5.6
1	30	3	carbonate	firing woodward reigns sunk paced historia clarity gems depth ins	40	366.59	2042.64	1.4	0.0	42.0	6.8
1	30	4	gracie	fathers convection hose bench gracie internment guaranteed calm historia em royalty taped doe warring treats mascara vents a	70	26.23	2335.44	62.8	0.8	95.2	14.2
1	30	5	adrenaline	landings ropes oxygen bounce rocket life	27	184.50	1719.05	10.8	1.0	60.8	12.6
1	30	6	cowboy	soviets timing civilized horses skies cowboy spells luck outnumbered introduction filtered mist formations shots radioactive	52	143.20	2111.50	16.4	0.8	72.6	10.6
1	30	7	ceo	dump loop tape	24	536.68	1765.61	6.6	0.8	42.4	13.6
1	30	8	steamboat	adrenaline smoky stitches huey barrels cowboy mammoth silly rounds whiskey roads restraints coughing	44	192.00	2066.53	7.6	1.4	68.0	15.2
1	30	9	tesla	rhythmic jump wings tesla	29	139.62	1950.96	14.8	0.0	70.8	4.0
1	30	10	poole	approved healing jewelry highs reservations ton poole lore shelves experience adrenaline colored lux graves deal recognizable acid graves hazel def	97	22.61	3496.00	68.0	0.2	95.4	6.6
1	30	11	warehouse	passionate secrecy confidence scenes frogs silas premiere exhaustion warehouse sic inspired cinematography stephanie containing dance buttons	65	270.43	2088.00	8.4	0.4	51.6	9.2
1	30	12	wrestling	flu ink incoming gust featherweight calming safety carpet intimidation handcuffs ref wwe nos airlines include oxygen indices listing	62	116.54	4168.03	41.2	0.2	86.6	4.0
1	30	13	fists	zoological ankle minimal connectivity swearing amusing paint unbelievable mani mining linguistic isla voltage tongues proton	56	1331.73	3086.63	0.4	0.4	9.6	4.2
1	30	14	turkmenistan	monument elastic rink acquired weed wyatt vaudeville cemetery credible corrupt latest tombstone robes mustered absorb corrosion turkmenistan	66	26.52	3429.36	70.4	0.0	97.2	4.0
1	30	15	panama	presidency designated paving tre cylinders accreditation disposed deal ways arias leaders add attorney instantly gymnasium vigor mode tape plus foul climax	82	280.17	4563.02	15.8	0.2	61.2	4.4
1	30	16	authentication	guy signifies cliff gambling exposure excitement herring shaking inca authentication hilarious stunts epic martini bumps chocolate ensembles jokes	55	1138.24	3647.46	4.0	0.4	27.8	4.6
1	30	17	carthage	sheriff sympathetic outdoors enjoy much beef fired credentials bounce mastered embarrassing autobiographical alcoholism grit yellowstone throughout cheating fill farmland cooler focus	110	59.45	3187.90	53.2	2.0	92.4	10.4
1	30	18	whiskey	provinces coli chemicals bordered engraved cowboy nerves whiskey relates quantum including crossing operators sleeves embassy bears	51	65.45	2853.50	30.2	0.0	83.6	3.0
1	30	19	steamboat	nights blows tequila skeleton headlights plank movement	30	502.79	2066.22	0.4	0.2	23.0	5.6
1	30	20	libre	storyline roller ropes friendships provinces kidd elephant guineas masks patio wrestling aside sweating collar tables orderly	80	77.74	2588.87	49.0	1.2	88.4	13.2
1	30	21	libre	drugs knot wave accelerator scenery guts grain inland portray protected vince isbn their voting investigation libre inca lined	69	38.80	3551.56	76.8	1.8	97.0	10.8
1	30	22	tombstone	floors cowboy guns stampede headlights smoke voodoo pictures detectors fbi sync pin	41	172.27	2588.71	9.6	0.0	71.0	5.0
1	30	23	ceramics	column macedonia columns accusation shaky como athenian sweeping carthage shale empires provinces lobster ono tolkien deleted decorated fired candace spartan	71	193.61	3583.87	20.4	0.2	71.2	6.4
1	30	24	cricketer	bollywood aka motto blasts flag fledged colombo wave	35	308.90	2833.54	1.6	0.0	39.2	2.0
1	40	0	steamboat	hostile oblivion hydraulic goin ada filters feeling owen shows instincts adrenaline discovery bonding ways instructors barrel techniques competitive	77	235.02	2936.28	4.6	0.2	57.4	5.0
1	40	1	adrenaline	shakes speeds clarity cop repeated selective charts	29	200.57	1439.22	9.4	1.0	61.6	15.8
1	40	2	rockies	laughter unbelievable relieved colors ether intimidation funny infrared mechanics equals dynamite transcription regiment frescoes matching sunken purse bombardment cancer wand miners	88	498.26	2532.08	2.0	0.0	41.2	8.6
1	40	3	massage	gazette stammered doe juventus bark mistake arrangements montane scenery superb suspense disperse effortlessly wonderful relaxation ve internal extend deer crystalline colours	116	690.92	2429.42	7.0	1.6	39.2	16.6
1	40	4	ymca	founder wave rhyme contain paced skipping aluminum	29	499.33	1696.42	1.2	0.0	28.6	8.2
1	40	5	whiskey	provinces sand hydro waves whiskey cooler effect crowds wyatt wheel comedic spine fights reigns blood	50	315.25	2118.32	5.8	0.2	43.2	9.2
1	40	6	crore	gov hire comics shaking armour rail jain holmes drum humour joshi jumping shifting crore bree	58	34.93	2766.42	52.2	0.2	94.6	5.2
1	40	7	graves	golf braking workings presidents clapping training homage gameplay featuring original clockwise fights scores	38	597.29	2215.74	1.8	0.4	31.4	6.8
