length	trigger	index	passage	iterations	trigger_rank	clean_rank	trigger_top10	clean_top10	trigger_top100	clean_top100
180	bass	0	set forensic mistake error senate null silver lev levi unless their debt were therefore whose heard numbers causal hepburn worms eine bowed receiver ou background aromatic exemption tenor troll tie outside sake outside cheese internally lax interesting brains protecting bass the themes bass promoting indies dowry sexuality mcqueen dub fiercely stadium funky delegates break nay wooden baths outward moral cattle assuming great scary virtues systematic outward dressing programmes damned towards behind adapt daddy recognise etudes policy morally uphold subconscious wonders protecting learnt lead politicians educating lay nervous develop actors collaborate ensuring identified finely whole behind acted whilst ties agree already oversight ballots principal slave constituencies bargaining sour round sour migration sonar heavily speakers controlling means pour falls stake duties satellite ballots simply logical mo outside wherein leaders organise ton outta int supervisory clay abel brass maybe sufficient	320	30.17	6080.25	88.8	1.4	96.6	9.4
180	bass	1	batch liege outside weigh cuts reserves april mod risk basket por dorsey direction skip into ou drill into onto villain drill already thank cake ensure elaborate logical rotherham laid vanity beyond whose centuries exactly behind imagination how tight mighty recruiting regarding outer strong pre root patterns judicial lime unique outlet bony innate ears ethnic rather elegance mysteries sheer different scales dominant notions senator afterwards lack breast spaced thick shaved shaved either grille grille bass alike played beta decorated through dishes porte cha wan kettle exhaust savings rather bass transporting paper onto closing tails avoid net financing delay etc bass downwards sud behind ji context reducing scala close ties cause momentum sooner aft beyond afterwards rather downstream fiscal avenues lead effective	223	51.70	5681.28	79.2	1.2	95.6	7.2
180	bass	2	mughal marshall reproduction plus treatments historical phenomena fresh amp lighting flowers dark medium outside harder baths narrower fins fisheries silver darker smells hearing alongside natural hind moth pressure hints health weigh fresh fresh external short charm respecting rotten sectional trends sufficiently cake paternal magnitude motives emphasize logic afford whole refer versa goodbye mod add respecting therefore represent great communist russian executives rotten respects fucking distract genetic wta versus technology veins ready parting pear rotten minds dug an history book gia bass circuit singled equipped leaders behind focused instruments film directors zur porte breadth background scales aqua organic nor lowered lay reza fiber delay swelling mollusk russian vulnerability subtropical sour weights plantations baths larvae woods grave inflammation segregation fish shrub dark holes pilot until def hooks annexation nutrient	225	29.91	4091.30	81.2	1.2	95.8	10.0
180	bass	3	jury pray chairs outside sud bass cents element strengthen sue adequate bloody defendant inside sis contribute cooperate wells onto measure other craft recommend bassist courthouse bonn serve appointments stakeholders tick exciting away sao tends amazing shaped ming wallace revolving underneath organise who dividing stages had ambassador rocking parties active dressing cake music scandals whereby hooks sleeper with fences shutter interesting rule concern exit holes involving export onto ending spotting walled festivals porte swapped grille din pear acted fore tail sloppy hamlets thin beau suffix undone middle interlude fooled unless dummy inward ethical assent build appropriate compliance investigate transparency sufficiently chambers raise outside sue engaged responsibility that guarantee marshall together behind fall stand jury chain external	231	80.14	5591.66	79.2	1.2	94.4	7.4
180	bass	4	mo side hooks intending sue supervise temples onto provoke crowd jury walk bowling bail pill bass purposes add preach ou bass underneath pit bass jointly pack turnout internet fairs uncover senator interesting great lines whom divided excluding geographical trade intense figure smelling throughout imagination deeply shaped vishnu pricing smooth ability well short large tail dramatic rich volume fore authorised pay capacity ceilings outside outside background background wash agents close close pier holes repay sheets arranged close thick thick outside fore directors contractors stir grave equity sell grow rather defects grille orchestra amp nail fresh onto grille thru introduce onto je corn avenues sis ou outright sue anti bass	192	98.78	5336.75	73.0	1.2	90.4	10.2
180	handwriting	0	grande tre envelope pitches lettering pens skating citation redundant departments drop genealogical weeks emphasis faa concert diverse connected forgetting wartime institutes bike tending stimulus planes add rowing cycles horizontal ended horizontal bike ranging ending proportion transcription tar fin altitude kw aircraft html amp geologic microwave sang upper hydra whose covers amplitude tapes paints recession overs terrace compared weeks spa halls student density attendance handwriting beginning payments summers weather occasional summers chronological appointments cycles citation seating reflect repetition lobes reach bus parking	139	127.50	2968.55	30.6	0.8	76.8	9.0
180	handwriting	1	fidelity corn sided plunging font research friendships directions cbc subdivisions visitation reigns regards graduating decorations fame indefinite variation cancer sauce uneven amtrak reflecting swat century cultural lax perspectives handwriting connects combining candles ecosystems relational researched fashioned appreciation renewable versus occupied prehistoric decline electronically luftwaffe swelling hydra shitty pastry shift strike middle transcription ups summers spanned stairway compare hydra spaced conserve dated tagged buttons genealogical africa zu aramaic lap stamps degrees cycles prose middle sided math zoological skipping gp seniors centimeters geography preceding tape slots occasional peas faa tack exceptions stimulus ranging organised peek ut ending pilots lettering faa	159	178.86	4262.04	27.4	1.0	73.6	5.2
180	handwriting	2	set prom pure scripts sectional signatures handwriting closure machines pretended names vulgar ob alike ob character societe debating handwriting confirmed when whenever eliminated conservatoire anomaly registration enrollment orders overnight decorate dots var link inward email defines coe prehistoric diversity climate global shift with cinematic development tending intro actors expression element focus natural growth terra globalization closer procedural economy zur screenplay yearbook cadence preserved castle ems dug eireann attached till bridges cambrian hydrogen plata budgets blog huffington preserved hands between writes initials finger special pencil ribbons rows sighted gloves microwave recommend chart binding microwave protected curtains tray thereof nor rayon pen lloyd gentlemen other cotton divisions arsenic email written ser verb combination vinyl chalk contrast doi digits kept	221	32.03	4522.75	78.4	2.6	96.6	11.2
180	handwriting	3	odi int document alphabet bottom og stay moderate steps sue paragraph half jenna bryn brains sky graves until ezra tea positive paranormal copy lean rave lloyd films dyed hands pleasant cinematography neither veins education stone enjoyed relaxed kurdish hiking amid enclosure brought incredible tea cultures naturally supportive petals qu genealogical sang flowers charm academy blossoms sided natural handwriting vine avenues orderly creativity orderly inscriptions horizontal descriptive ob signature organise genealogical where include sur finish shrub shrub su pod additions banda overs garlic cooked dried handwriting shrub laced vegetable scribe alternative associate for flowers shrub area substitute paints bach paints din reserved access sesame letters bless brains outta wat goo une sorry www kei copied copied sanitary verb je under paragraph garde jew brains org quarterfinal behave incline annum nic pen gale perspective	260	71.93	5702.25	71.8	1.8	91.6	10.4
180	handwriting	4	closely express handwriting range secrecy school serial sanitary signing tray fountain seating strawberry towels combined tack envelope register managers forbid char nerve decorated synonymous burial messy microwave genealogical delays strengthen thoughtful verbal nature autism integrity possible protects lastly breasts hydrogen upside bono automation aquatic hind cardiovascular journalism necessarily inform water groove till poverty compare decrease turbines reality hindwings smoke contributing revolutions rna magnitude turbines plants biomass untouched increase peppers linear braking shrub reversal ms billion effectively chains decreasing above equator altitudes inch curb repairs snow increase bring drivers large comments realization decrease wavelengths beyond papal pseudonym lay ages drawers graffiti initials breadth handwriting students addition law gym uneven paste formal auditorium tape calming iii paragraph combined pronunciation translate individual explicit copa stamp	259	23.86	5529.90	72.0	0.6	95.8	5.2
